name,row_code,"Поступило в консолидированный бюджет, всего",Уд. вес в общей сумме поступлений (%),в том числе: Федеральные налоги,в том числе: из них: налог на прибыль организации: всего,в том числе: из них: налог на прибыль организации: в том числе в федеральный бюджет,в том числе: из них:налог на доходы физических лиц,в том числе: из них: НДС,в том числе: из них: акцизы по подакцизным товарам,в том числе: из них:налог на добычу полезных ископаемых,в том числе: из них:остальные налоги и сборы,в том числе: Региональные налоги и сборы,в том числе: Местные налоги и сборы,в том числе: Налоги со специальным налоговым режимом,year
Финансовая деятельность,620,325.99,3.4,293.70,155.06,5.90,136.15,2.50,0.00,0.00,0.00,27.40,1.53,3.36,2014
Финансовая деятельность,620,181.3,1.7,140.5,9.6,11.7,125.9,5.0,0.0,0.0,0.0,34.2,1.9,4.7,2015
Финансовая деятельность,620,416.4,3.3,374.5,235.8,9.8,127.6,11.0,0.0,0.0,0.0,33.9,2.4,5.6,2016
"Операции с недвижимым имуществом, аренда и предоставление услуг",621,730.26,7.7,453.49,165.03,1.12,219.83,68.37,0.00,0.00,0.25,110.90,18.89,146.97,2014
"Операции с недвижимым имуществом, аренда и предоставление услуг",621,791.6,7.4,487.9,190.0,0.7,220.0,77.7,0.0,0.0,0.3,113.1,28.8,161.8,2015
"Операции с недвижимым имуществом, аренда и предоставление услуг",621,464.8,3.7,118.7,105.7,1.3,246.7,-234.0,0.0,0.0,0.3,132.7,22.6,190.7,2016
Государственное управление и обеспечение военной безопасности; обязательное и социальное обеспечение,622,841.97,8.8,780.83,2.40,0.05,777.46,0.98,0.00,0.00,0.00,53.20,6.79,1.16,2014
Государственное управление и обеспечение военной безопасности; обязательное и социальное обеспечение,622,849.2,7.9,771.3,2.1,0.3,767.7,1.6,0.0,0.0,0.0,68.3,7.6,2.0,2015
Государственное управление и обеспечение военной безопасности; обязательное и социальное обеспечение,622,829.2,6.5,750.0,0.1,0.0,746.1,3.7,0.0,0.0,0.0,71.2,6.3,1.8,2016
Образование,623,521.46,5.5,416.62,0.60,0.00,413.88,2.14,0.00,0.00,0.01,77.08,23.43,4.33,2014
Образование,623,589.5,5.5,471.8,1.1,0.1,467.2,3.5,0.0,0.0,0.0,87.2,25.3,5.2,2015
Образование,623,606.1,4.8,477.8,2.1,0.2,472.6,3.0,0.0,0.0,0.0,96.8,25.4,6.1,2016
Здравоохранение и предоставление социальных услуг,624,401.41,4.2,338.31,1.26,0.12,331.12,5.88,0.00,0.00,0.04,46.65,9.02,7.44,2014
Здравоохранение и предоставление социальных услуг,624,413.8,3.8,353.0,2.1,0.2,338.9,12.0,0.0,0.0,0.0,42.2,9.6,9.0,2015
Здравоохранение и предоставление социальных услуг,624,425.1,3.3,360.3,1.1,0.1,349.1,10.1,0.0,0.0,0.0,46.3,9.0,9.5,2016
"Предоставление прочих коммунальных, социальных и персональных услуг",625,186.84,2.0,128.26,1.96,0.25,122.19,3.66,0.00,0.00,0.45,23.24,7.16,28.18,2014
"Предоставление прочих коммунальных, социальных и персональных услуг",625,186.9,1.7,127.6,8.2,0.2,116.1,2.7,0.0,0.0,0.6,22.3,4.6,32.5,2015
"Предоставление прочих коммунальных, социальных и персональных услуг",625,187.3,1.5,128.1,-3.2,0.1,124.5,6.1,0.0,0.0,0.6,28.6,6.1,24.6,2016
Остальные виды экономической деятельности,626,-2.33,X,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-2.34,2014
Остальные виды экономической деятельности,626,-3.6,X,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-3.8,2015
Остальные виды экономической деятельности,626,-19.8,X,-13.5,0.0,0.0,-13.5,0.0,0.0,0.0,0.0,0.0,0.0,-6.3,2016
"Сумма налогов и сборов, не распределенных по кодам ОКВЭД",627,162.89,1.7,127.91,0.00,0.00,71.35,0.00,0.00,0.00,56.56,2.00,3.84,29.14,2014
"Сумма налогов и сборов, не распределенных по кодам ОКВЭД",627,123.2,1.1,113.2,0.0,0.0,45.7,0.0,0.0,0.0,67.6,0.4,1.3,8.2,2015
"Сумма налогов и сборов, не распределенных по кодам ОКВЭД",627,243.5,1.9,136.8,0.0,0.0,68.3,0.0,0.0,0.0,68.6,64.2,40.6,1.9,2016
